HUD ID Number:,Project Name:,Project Address:,Project City:,Project State:,Project ZIP Code:,Project's Latitude:,Project's Longitude:,Unique 2010 Census Tract Identifier Code:,2010 Census Tract Number:,Total Number of Units:,Total Low-Income Units:,Number of Efficiency Units:,Number of 1 Bedroom Units:,Number of 2 Bedroom Units:,Number of 3 Bedroom Units:,Number of 4 Bedroom Units:,Placed-In-Service Year:,Credit Allocation Year:,Construction Type:,For-profit/non-profit Sponsor:,DDA/QCT Increased Basis:,Tax-Exempt Bond Financing:,FmHA/RHS 515 Loan Financing:,Credit Type:,Home Investment Partnership Funds,Community Development Block Grant (CDBG) Funds,FHA-insured Loan,Part of a HOPE VI Development,Dollar Amount of HOME Funds:,Dollar Amount of CDBG Funds:,Dollar Amount of HOPEVI Funds:,Project-Based Rental Assistance Contract:,Targets a Specific Population with Specialized Services or Facilities,Annual LIHTC Allocation Amount:,Elected Rent/Income Ceiling for Low Income Units:,Are Units Set Aside with Rents Lower than the Elected Rent/Income Ceiling?,Number of Units Set Aside with Rents Lower than the Elected Rent/Income Ceiling:
NYA00000069,EMERSON ROW HOUSES,29 EMERSON PL,BUFFALO,NY,14209,42.91303253,-78.86156464,36029016800,168,28,28,0,28,0,0,0,8888,1990,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,30% Present Value Credit,No,Yes,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA00000635,WATERFRONT II,130 NIAGARA ST,BUFFALO,NY,14201,42.88829041,-78.88021851,36029007102,71.02,472,471,182,116,154,19,0,8888,1989,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,Information Not Available,No,No,No,Status Not Available,,,,Not Indicated,No,,,Not Indicated,
NYA00000650,145 BUSTI AVE,145 BUSTI AVE,BUFFALO,NY,14201,42.8899765,-78.88455963,36029007102,71.02,142,141,0,32,100,9,0,8888,1989,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,Information Not Available,No,No,No,Status Not Available,,,,Not Indicated,No,,,Not Indicated,
NYA00000670,191 BIRD AVE,191 BIRD AVE,BUFFALO,NY,14213,42.92568588,-78.8917923,36029017100,171,18,18,0,2,0,16,0,8888,1989,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,30% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA00000705,235 HUDSON ST,235 HUDSON ST,BUFFALO,NY,14201,42.89758682,-78.88527679,36029007101,71.01,12,12,0,6,6,0,0,8888,1989,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,30% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19930090,CHRISTINE APTS,526 NIAGARA ST,BUFFALO,NY,14201,42.89805222,-78.88939667,36029007000,70,32,32,0,8,24,0,0,1993,1992,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,70% Present Value Credit,Yes,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19940030,202 SOUTH DIVISION STREET,202 S DIVISION ST,BUFFALO,NY,14204,42.88162994,-78.86847687,36029001402,14.02,63,63,0,20,40,0,3,1994,1992,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,70% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19940035,211 EAGLE STREET,211 E EAGLE ST,BUFFALO,NY,14204,42.88274765,-78.86689758,36029001402,14.02,60,60,0,20,40,0,0,1994,1992,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,70% Present Value Credit,No,Yes,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19940280,ST ANN'S APTS (BUFFALO),371 WATSON ST,BUFFALO,NY,14212,42.88985062,-78.85016632,36029001500,15,19,19,0,19,0,0,0,1994,1992,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,70% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19950245,MANHATTAN SQUARE APTS,194 MANHATTAN AVE,BUFFALO,NY,14215,42.93845749,-78.82837677,36029004001,40.01,72,72,0,0,71,1,0,1995,1994,New Construction,Status Not Available,Status Not Available,No,No,70% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
